,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Geo point,Postal code,Public name,Rental status,Slots,Status,Subscription status,year,month,day,hour,minute,new_datetime
3900,5 Avenue Mac Mahon,2,2,1,1,1,operational,Paris,paris-macmahon-5,STATION,"48.8754776, 2.2945178",75017,Paris/Mac Mahon/5,operational,1,ok,nonexistent,2018,4,2,9,41,2018-04-02 09:41:00
3901,42 bis avenue Georges Mandel,4,4,0,0,0,operational,Paris,paris-georgesmandel-42,STATION,"48.8639536, 2.2806137",75016,Paris/Georges Mandel/42,operational,2,ok,nonexistent,2018,4,7,8,7,2018-04-07 08:07:00
3902,31 avenue de la Division Leclerc,7,7,0,0,0,nonexistent,Fontenay-aux-Roses,fontenayauxroses-divisionleclerc-31,STATION,"48.795005, 2.274407",92260,Fontenay-aux-Roses/Division Leclerc/31,operational,0,ok,nonexistent,2018,4,3,7,23,2018-04-03 07:23:00
3903,38 rue Fran̤ois 1er,0,0,0,0,1,operational,Paris,paris-francois1er-38,STATION,"48.8682112, 2.3046348",75008,Paris/Fran̤ois 1er/38,operational,6,ok,nonexistent,2018,4,6,2,19,2018-04-06 02:19:00
3904,65 cours de Vincennes,3,3,1,0,1,operational,Paris,paris-vincennes-65,STATION,"48.8477968, 2.4060203",75020,Paris/Vincennes/65,operational,2,ok,nonexistent,2018,4,7,6,6,2018-04-07 06:06:00
3905,1 rue Olympe de Gouge,4,4,0,0,0,nonexistent,Asni̬res-sur-Seine,asnieressurseine-olympedegouge-1,STATION,"48.9179468, 2.3189865",92600,Asni̬res-sur-Seine/Olympe de Gouge/1,operational,0,ok,nonexistent,2018,4,9,11,33,2018-04-09 11:33:00
3906,2 rue des Couronnes,0,0,0,0,0,nonexistent,Paris,paris-couronnes-2,STATION,"48.8691502, 2.3808934",75020,Paris/Couronnes/2,operational,4,ok,nonexistent,2018,4,7,7,57,2018-04-07 07:57:00
3907,125 bis avenue Parmentier,5,5,0,0,1,operational,Paris,paris-parmentier-125,STATION,"48.8690795, 2.371679",75011,Paris/Parmentier/125,operational,1,ok,nonexistent,2018,4,9,4,58,2018-04-09 04:58:00
3908,229 Rue Raymond Losserand,6,6,0,0,0,operational,Paris,paris-raymondlosserand-229,STATION,"48.828, 2.306022",75014,Paris/Raymond Losserand/229,operational,0,ok,nonexistent,2018,4,7,22,12,2018-04-07 22:12:00
3909,3 avenue Paul Doumer,5,5,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-pauldoumer-3,STATION,"48.8839089, 2.1919207",92500,Rueil-Malmaison/Paul Doumer/3,operational,1,ok,nonexistent,2018,4,1,2,1,2018-04-01 02:01:00
3910,29 rue Saint Stenay,3,3,0,0,0,nonexistent,Drancy,drancy-saintstenay-29,STATION,"48.91845, 2.418932",93700,Drancy/Saint Stenay/29,operational,2,ok,nonexistent,2018,4,6,21,12,2018-04-06 21:12:00
3911,109 chauss̩e de l'Etang,5,5,0,0,0,nonexistent,Le Plessis-Robinson,leplessisrobinson-chausseedeletang-109,STATION,"48.783727, 2.271436",92350,Le Plessis-Robinson/Chauss̩e de l'Etang/109,operational,0,ok,nonexistent,2018,4,8,20,53,2018-04-08 20:53:00
3912,89 Rue des Pyr̩n̩es,3,3,0,1,1,operational,Paris,paris-pyrenees-89,STATION,"48.854194, 2.405656",75020,Paris/Pyr̩n̩es/89,operational,2,ok,nonexistent,2018,4,7,4,33,2018-04-07 04:33:00
3913,16 Rue Molitor,4,4,1,0,0,operational,Paris,paris-molitor-16,STATION,"48.845175, 2.2641594",75016,Paris/Molitor/16,operational,1,ok,nonexistent,2018,4,6,5,34,2018-04-06 05:34:00
3914,22 rue Fran̤ois Delage,0,0,0,0,0,nonexistent,Cachan,cachan-francoisdelage-22,STATION,"48.79263, 2.337104",94230,Cachan/Fran̤ois Delage/22,broken,0,closed,nonexistent,2018,4,8,6,52,2018-04-08 06:52:00
3915,7 rue Arthur Chevalier,3,3,0,0,0,nonexistent,Aulnay-sous-bois,aulnaysousbois-arthurchevalier-7,STATION,"48.9305794, 2.5063639",93600,Aulnay-sous-bois/Arthur Chevalier/7,operational,1,ok,nonexistent,2018,4,1,11,4,2018-04-01 11:04:00
3916,46 Avenue de Villiers,6,6,0,0,0,operational,Paris,paris-villiers-46,STATION,"48.8832876, 2.3080623",75017,Paris/Villiers/46,operational,0,ok,nonexistent,2018,4,4,1,42,2018-04-04 01:42:00
3917,77 avenue Pierre Brossolette,6,6,0,0,0,nonexistent,Cr̩teil,creteil-pierrebrossolette-77,STATION,"48.7896323, 2.4649966",94000,Cr̩teil/Pierre Brossolette/77,operational,0,ok,nonexistent,2018,4,7,13,12,2018-04-07 13:12:00
